	MAIN_TAREADOR	horizontal_border	vertical_border	fill_py	compute_py	
THREAD 1.1.1	1924000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	2313000.00	0.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	2313000.00	0.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.5	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.6	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.7	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.8	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.9	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.10	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.11	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.12	0.00	2313000.00	0.00	0.00	0.00	
THREAD 1.1.13	0.00	0.00	2313000.00	0.00	0.00	
THREAD 1.1.14	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.15	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.16	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.17	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.18	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.19	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.20	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.21	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.22	0.00	2607000.00	0.00	0.00	0.00	
THREAD 1.1.23	0.00	0.00	2481000.00	0.00	0.00	
THREAD 1.1.24	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.25	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.26	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.27	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.28	0.00	0.00	0.00	0.00	1182000.00	
THREAD 1.1.29	0.00	0.00	0.00	0.00	1224000.00	
THREAD 1.1.30	0.00	0.00	0.00	0.00	1308000.00	
THREAD 1.1.31	0.00	0.00	0.00	0.00	1350000.00	
THREAD 1.1.32	0.00	11547000.00	0.00	0.00	0.00	
THREAD 1.1.33	0.00	0.00	3027000.00	0.00	0.00	
THREAD 1.1.34	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.35	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.36	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.37	0.00	0.00	0.00	0.00	1224000.00	
THREAD 1.1.38	0.00	0.00	0.00	0.00	1476000.00	
THREAD 1.1.39	0.00	0.00	0.00	0.00	1980000.00	
THREAD 1.1.40	0.00	0.00	0.00	0.00	2316000.00	
THREAD 1.1.41	0.00	0.00	0.00	0.00	10290000.00	
THREAD 1.1.42	0.00	2313000.00	0.00	0.00	0.00	
THREAD 1.1.43	0.00	0.00	2313000.00	0.00	0.00	
THREAD 1.1.44	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.45	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.46	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.47	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.48	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.49	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.50	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.51	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.52	0.00	2355000.00	0.00	0.00	0.00	
THREAD 1.1.53	0.00	0.00	2691000.00	0.00	0.00	
THREAD 1.1.54	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.55	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.56	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.57	0.00	0.00	0.00	0.00	1098000.00	
THREAD 1.1.58	0.00	0.00	0.00	0.00	1140000.00	
THREAD 1.1.59	0.00	0.00	0.00	0.00	1182000.00	
THREAD 1.1.60	0.00	0.00	0.00	0.00	1140000.00	
THREAD 1.1.61	0.00	0.00	0.00	0.00	1098000.00	
THREAD 1.1.62	0.00	12261000.00	0.00	0.00	0.00	
THREAD 1.1.63	0.00	0.00	20781000.00	0.00	0.00	
THREAD 1.1.64	0.00	0.00	0.00	0.00	1434000.00	
THREAD 1.1.65	0.00	0.00	0.00	0.00	1602000.00	
THREAD 1.1.66	0.00	0.00	0.00	0.00	1938000.00	
THREAD 1.1.67	0.00	0.00	0.00	0.00	4290000.00	
THREAD 1.1.68	0.00	0.00	0.00	0.00	12852000.00	
THREAD 1.1.69	0.00	0.00	0.00	0.00	18726000.00	
THREAD 1.1.70	0.00	0.00	0.00	0.00	15873000.00	
THREAD 1.1.71	0.00	0.00	0.00	0.00	10626000.00	
THREAD 1.1.72	0.00	41265000.00	0.00	0.00	0.00	
THREAD 1.1.73	0.00	0.00	46341000.00	0.00	0.00	
THREAD 1.1.74	0.00	0.00	0.00	0.00	9663000.00	
THREAD 1.1.75	0.00	0.00	0.00	0.00	22965000.00	
THREAD 1.1.76	0.00	0.00	0.00	0.00	26574000.00	
THREAD 1.1.77	0.00	0.00	0.00	0.00	27456000.00	
THREAD 1.1.78	0.00	0.00	0.00	0.00	34296000.00	
THREAD 1.1.79	0.00	0.00	0.00	0.00	34296000.00	
THREAD 1.1.80	0.00	0.00	0.00	0.00	34296000.00	
THREAD 1.1.81	0.00	0.00	0.00	0.00	31401000.00	
THREAD 1.1.82	0.00	2313000.00	0.00	0.00	0.00	
THREAD 1.1.83	0.00	0.00	2313000.00	0.00	0.00	
THREAD 1.1.84	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.85	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.86	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.87	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.88	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.89	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.90	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.91	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.92	0.00	2355000.00	0.00	0.00	0.00	
THREAD 1.1.93	0.00	0.00	2355000.00	0.00	0.00	
THREAD 1.1.94	0.00	0.00	0.00	0.00	1098000.00	
THREAD 1.1.95	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.96	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.97	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.98	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.99	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.100	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.101	0.00	0.00	0.00	0.00	1056000.00	
THREAD 1.1.102	0.00	4035000.00	0.00	0.00	0.00	
THREAD 1.1.103	0.00	0.00	3321000.00	0.00	0.00	
THREAD 1.1.104	0.00	0.00	0.00	0.00	2694000.00	
THREAD 1.1.105	0.00	0.00	0.00	0.00	1812000.00	
THREAD 1.1.106	0.00	0.00	0.00	0.00	1560000.00	
THREAD 1.1.107	0.00	0.00	0.00	0.00	1392000.00	
THREAD 1.1.108	0.00	0.00	0.00	0.00	1308000.00	
THREAD 1.1.109	0.00	0.00	0.00	0.00	1266000.00	
THREAD 1.1.110	0.00	0.00	0.00	0.00	1224000.00	
THREAD 1.1.111	0.00	0.00	0.00	0.00	1140000.00	
THREAD 1.1.112	0.00	30729000.00	0.00	0.00	0.00	
THREAD 1.1.113	0.00	0.00	16416000.00	0.00	0.00	
THREAD 1.1.114	0.00	0.00	0.00	0.00	29136000.00	
THREAD 1.1.115	0.00	0.00	0.00	0.00	26784000.00	
THREAD 1.1.116	0.00	0.00	0.00	0.00	22716000.00	
THREAD 1.1.117	0.00	0.00	0.00	0.00	10710000.00	
THREAD 1.1.118	0.00	0.00	0.00	0.00	4206000.00	
THREAD 1.1.119	0.00	0.00	0.00	0.00	2232000.00	
THREAD 1.1.120	0.00	0.00	0.00	0.00	1854000.00	
THREAD 1.1.121	0.00	0.00	0.00	0.00	1392000.00	
THREAD 1.1.122	0.00	2313000.00	0.00	0.00	0.00	
THREAD 1.1.123	0.00	0.00	2313000.00	0.00	0.00	
THREAD 1.1.124	0.00	0.00	0.00	240000.00	0.00	
