	1	2	3	4	
CPU 1.1	14750000.00	13948000.00	52479000.00	52000.00	
CPU 1.2	2345000.00	8109000.00	47584000.00	2387000.00	
CPU 1.3	0.00	48172000.00	22020000.00	2387000.00	
CPU 1.4	0.00	0.00	8076000.00	0.00	

Total	17095000.00	70229000.00	130159000.00	4826000.00	
Average	8547500.00	23409666.67	32539750.00	1608666.67	
Maximum	14750000.00	48172000.00	52479000.00	2387000.00	
Minimum	2345000.00	8109000.00	8076000.00	52000.00	
StDev	6202500.00	17671131.72	18255433.11	1100729.56	
Avg/Max	0.58	0.49	0.62	0.67	

