	MAIN_TAREADOR	horizontal	vertical	case1	case2	case3	case4	
THREAD 1.1.1	79000.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	9353000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	52625000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	80000.00	0.00	0.00	0.00	
THREAD 1.1.5	0.00	4723000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.6	0.00	0.00	5059000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.7	0.00	0.00	0.00	2183000.00	0.00	0.00	0.00	
THREAD 1.1.8	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.9	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.10	0.00	0.00	0.00	0.00	2186000.00	0.00	0.00	
THREAD 1.1.11	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.12	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.13	0.00	0.00	0.00	0.00	0.00	2186000.00	0.00	
THREAD 1.1.14	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.15	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.16	0.00	0.00	0.00	0.00	0.00	0.00	9077000.00	
THREAD 1.1.17	0.00	2387000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.18	0.00	0.00	2723000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.19	0.00	0.00	0.00	0.00	83000.00	0.00	0.00	
THREAD 1.1.20	0.00	44596000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.21	0.00	0.00	35362000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.22	0.00	0.00	0.00	9533000.00	0.00	0.00	0.00	
THREAD 1.1.23	0.00	2639000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.24	0.00	0.00	2513000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.25	0.00	0.00	0.00	0.00	20702000.00	0.00	0.00	
THREAD 1.1.26	0.00	11579000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.27	0.00	0.00	3059000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.28	0.00	0.00	0.00	0.00	0.00	67589000.00	0.00	
THREAD 1.1.29	0.00	12293000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.30	0.00	0.00	20813000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.31	0.00	0.00	0.00	0.00	0.00	0.00	221198000.00	
THREAD 1.1.32	0.00	41297000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.33	0.00	0.00	46373000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.34	0.00	0.00	0.00	0.00	0.00	83000.00	0.00	
THREAD 1.1.35	0.00	4723000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.36	0.00	0.00	4723000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.37	0.00	0.00	0.00	2183000.00	0.00	0.00	0.00	
THREAD 1.1.38	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.39	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.40	0.00	0.00	0.00	0.00	8738000.00	0.00	0.00	
THREAD 1.1.41	0.00	2387000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.42	0.00	0.00	2387000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.43	0.00	0.00	0.00	0.00	0.00	2186000.00	0.00	
THREAD 1.1.44	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.45	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.46	0.00	0.00	0.00	0.00	0.00	0.00	2189000.00	
THREAD 1.1.47	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.48	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.49	0.00	0.00	0.00	0.00	0.00	0.00	86000.00	
THREAD 1.1.50	0.00	34399000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.51	0.00	0.00	18028000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.52	0.00	0.00	0.00	12641000.00	0.00	0.00	0.00	
THREAD 1.1.53	0.00	4067000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.54	0.00	0.00	3353000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.55	0.00	0.00	0.00	0.00	99278000.00	0.00	0.00	
THREAD 1.1.56	0.00	30761000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.57	0.00	0.00	16448000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.58	0.00	0.00	0.00	0.00	0.00	2186000.00	0.00	
THREAD 1.1.59	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.60	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.61	0.00	0.00	0.00	0.00	0.00	0.00	2189000.00	
THREAD 1.1.62	0.00	2345000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.63	0.00	0.00	2345000.00	0.00	0.00	0.00	0.00	

Total	79000.00	223964000.00	232226000.00	26620000.00	130987000.00	74230000.00	234739000.00	
Average	79000.00	10664952.38	11058380.95	5324000.00	26197400.00	14846000.00	46947800.00	
Maximum	79000.00	44596000.00	52625000.00	12641000.00	99278000.00	67589000.00	221198000.00	
Minimum	79000.00	2345000.00	2345000.00	80000.00	83000.00	83000.00	86000.00	
StDev	0.00	13682428.87	15060069.95	4867966.06	37240605.21	26384074.81	87178045.80	
Avg/Max	1.00	0.24	0.21	0.42	0.26	0.22	0.21	

